detectorName,descriptorName,img,ttc_lidar,ttc_camera,t_total
AKAZE,AKAZE,1,12.9722,12.4861,0.494697
AKAZE,AKAZE,2,12.264,13.5971,0.416006
AKAZE,AKAZE,3,13.9161,12.9095,0.429462
AKAZE,AKAZE,4,15.804,13.8685,0.412568
AKAZE,AKAZE,5,12.5951,15.1026,0.395676
AKAZE,AKAZE,6,7.14812,13.7653,0.401259
AKAZE,AKAZE,7,34.3404,15.4664,0.405186
AKAZE,AKAZE,8,18.7875,13.8958,0.393715
AKAZE,AKAZE,9,15.8894,13.8053,0.377957
AKAZE,AKAZE,10,13.7297,11.5735,0.391851
AKAZE,AKAZE,11,10.4914,12.1579,0.40593
AKAZE,AKAZE,12,10.1,10.9951,0.397209
AKAZE,AKAZE,13,9.22307,10.9118,0.403918
AKAZE,AKAZE,14,10.9678,10.9433,0.400862
AKAZE,AKAZE,15,8.09422,10.5674,0.404355
AKAZE,AKAZE,16,8.81392,9.73865,0.400958
AKAZE,AKAZE,17,10.2926,9.20528,0.407675
AKAZE,AKAZE,18,8.30978,8.91654,0.407826
BRISK,BRIEF,1,12.9722,12.3379,0.529848
BRISK,BRIEF,2,12.264,17.2855,0.527985
BRISK,BRIEF,3,13.9161,11.5662,0.533953
BRISK,BRIEF,4,15.804,20.5163,0.533956
BRISK,BRIEF,5,12.5951,20.2689,0.52773
BRISK,BRIEF,6,7.14812,19.6238,0.531751
BRISK,BRIEF,7,34.3404,14.6853,0.536814
BRISK,BRIEF,8,18.7875,19.9037,0.522983
BRISK,BRIEF,9,15.8894,13.1311,0.533502
BRISK,BRIEF,10,13.7297,10.9921,0.535274
BRISK,BRIEF,11,10.4914,13.5819,0.530105
BRISK,BRIEF,12,10.1,13.5238,0.527589
BRISK,BRIEF,13,9.22307,11.9273,0.525779
BRISK,BRIEF,14,10.9678,12.5555,0.542732
BRISK,BRIEF,15,8.09422,10.6245,0.538338
BRISK,BRIEF,16,8.81392,12.853,0.534398
BRISK,BRIEF,17,10.2926,10.6707,0.541893
BRISK,BRIEF,18,8.30978,12.0257,0.544185
BRISK,BRISK,1,12.9722,12.7589,0.669136
BRISK,BRISK,2,12.264,17.974,0.679738
BRISK,BRISK,3,13.9161,11.9583,0.677598
BRISK,BRISK,4,15.804,19.8997,0.675647
BRISK,BRISK,5,12.5951,28.4569,0.68358
BRISK,BRISK,6,7.14812,15.8487,0.675
BRISK,BRISK,7,34.3404,14.2295,0.672919
BRISK,BRISK,8,18.7875,17.898,0.683855
BRISK,BRISK,9,15.8894,14.0121,0.675168
BRISK,BRISK,10,13.7297,11.1141,0.686652
BRISK,BRISK,11,10.4914,11.5656,0.685949
BRISK,BRISK,12,10.1,9.72094,0.684703
BRISK,BRISK,13,9.22307,11.1978,0.688241
BRISK,BRISK,14,10.9678,12.2386,0.694457
BRISK,BRISK,15,8.09422,12.1932,0.69748
BRISK,BRISK,16,8.81392,11.3654,0.69937
BRISK,BRISK,17,10.2926,9.05379,0.696383
BRISK,BRISK,18,8.30978,11.8413,0.692351
BRISK,FREAK,1,12.9722,12.1912,0.559057
BRISK,FREAK,2,12.264,18.9895,0.568559
BRISK,FREAK,3,13.9161,12.7683,0.562917
BRISK,FREAK,4,15.804,15.5817,0.578142
BRISK,FREAK,5,12.5951,19.843,0.57048
BRISK,FREAK,6,7.14812,14.2981,0.567255
BRISK,FREAK,7,34.3404,14.7944,0.567733
BRISK,FREAK,8,18.7875,16.0454,0.577996
BRISK,FREAK,9,15.8894,14.9763,0.581359
BRISK,FREAK,10,13.7297,12.9905,0.591383
BRISK,FREAK,11,10.4914,12.0295,0.582482
BRISK,FREAK,12,10.1,11.1071,0.59317
BRISK,FREAK,13,9.22307,11.7447,0.680168
BRISK,FREAK,14,10.9678,11.4001,0.591504
BRISK,FREAK,15,8.09422,13.996,0.588918
BRISK,FREAK,16,8.81392,10.2039,0.607554
BRISK,FREAK,17,10.2926,8.17467,0.582704
BRISK,FREAK,18,8.30978,10.5542,0.593536
BRISK,ORB,1,12.9722,12.4699,0.588722
BRISK,ORB,2,12.264,19.0048,0.585347
BRISK,ORB,3,13.9161,13.086,0.574774
BRISK,ORB,4,15.804,16.5772,0.565129
BRISK,ORB,5,12.5951,20.2837,0.568157
BRISK,ORB,6,7.14812,18.9234,0.571865
BRISK,ORB,7,34.3404,13.2985,0.562191
BRISK,ORB,8,18.7875,17.2436,0.562723
BRISK,ORB,9,15.8894,14.4525,0.568975
BRISK,ORB,10,13.7297,10.4386,0.560842
BRISK,ORB,11,10.4914,12.8142,0.566855
BRISK,ORB,12,10.1,10.7892,0.56775
